sentiment_label,sentiment_score,sentiment_polarity,fatigue_total,fatigue_word_density,fatigue_physical,fatigue_mental,fatigue_schedule,fatigue_injury,fatigue_motivation,avg_sentence_len,type_token_ratio,first_person_rate,negation_rate,word_count,llm_fatigue_label,llm_fatigue_confidence,llm_reason,nlp_processed
POSITIVE,0.9873250424861908,0.9873,1,0.1272,0,0,0,0,1,18.26,0.3541,0.0522,0.0038,785,,,,1
POSITIVE,0.9993860522905985,0.9994,5,0.6173,4,0,1,0,0,10.09,0.3764,0.0552,0.0025,797,,,,1
POSITIVE,0.9991087317466736,0.9991,0,0.0,0,0,0,0,0,9.0,0.7593,0.037,0.0,54,,,,1
NEGATIVE,0.7935356497764587,-0.7935,0,0.0,0,0,0,0,0,20.2,0.5,0.099,0.0,202,,,,1
POSITIVE,0.9997056126594543,0.9997,0,0.0,0,0,0,0,0,12.17,0.4795,0.0685,0.0046,219,,,,1
POSITIVE,0.9998277425765991,0.9998,0,0.0,0,0,0,0,0,5.35,0.5981,0.1028,0.0,107,,,,1
POSITIVE,0.9873158931732178,0.9873,1,0.4115,0,0,1,0,0,11.8,0.5085,0.0424,0.0085,236,,,,1
POSITIVE,0.9984879493713379,0.9985,0,0.0,0,0,0,0,0,15.33,0.5725,0.0435,0.0362,138,,,,1
NEGATIVE,0.9852297902107239,-0.9852,1,0.2646,1,0,0,0,0,12.93,0.4533,0.0933,0.016,375,,,,1
POSITIVE,0.9365922212600708,0.9366,0,0.0,0,0,0,0,0,15.0,0.5917,0.1167,0.0083,120,,,,1
POSITIVE,0.9943812042474747,0.9944,0,0.0,0,0,0,0,0,10.46,0.3007,0.0786,0.0108,1297,,,,1
POSITIVE,0.9989991188049316,0.999,4,0.3469,4,0,0,0,0,9.1,0.2691,0.0994,0.0097,1137,,,,1
POSITIVE,0.33882049719492596,0.3388,0,0.0,0,0,0,0,0,12.13,0.3441,0.0663,0.0076,1177,,,,1
POSITIVE,0.9987758994102478,0.9988,1,0.1258,0,0,0,1,0,12.92,0.3211,0.0799,0.0063,788,,,,1
POSITIVE,0.9964080452919006,0.9964,0,0.0,0,0,0,0,0,10.11,0.3528,0.0764,0.0045,445,,,,1
POSITIVE,0.0017539560794830322,0.0018,0,0.0,0,0,0,0,0,12.84,0.3392,0.0791,0.0113,796,,,,1
POSITIVE,0.10340186953544617,0.1034,1,0.1355,0,0,1,0,0,11.87,0.3508,0.087,0.0083,724,,,,1
POSITIVE,0.9997349381446838,0.9997,0,0.0,0,0,0,0,0,6.0,0.7222,0.0926,0.0,54,,,,1
POSITIVE,0.8658858835697174,0.8659,0,0.0,0,0,0,0,0,17.53,0.3949,0.0736,0.0105,666,,,,1
POSITIVE,0.9985723495483398,0.9986,1,0.0923,0,0,0,1,0,10.43,0.2682,0.0866,0.0056,1074,,,,1
POSITIVE,0.34517788887023926,0.3452,2,0.1857,0,0,1,0,1,14.88,0.2745,0.0831,0.0065,1071,,,,1
POSITIVE,0.5932155400514603,0.5932,1,0.0592,0,0,0,0,1,11.06,0.2826,0.0671,0.0072,1670,,,,1
POSITIVE,0.9863329529762268,0.9863,0,0.0,0,0,0,0,0,9.95,0.4762,0.0265,0.0159,189,,,,1
POSITIVE,0.9627453982830048,0.9627,8,0.614,1,0,0,5,2,10.64,0.3046,0.0673,0.0078,1277,,,,1
POSITIVE,0.49124884605407715,0.4912,4,0.2956,0,0,2,0,2,13.43,0.2859,0.0625,0.0127,1343,,,,1
POSITIVE,0.004183083772659302,0.0042,0,0.0,0,0,0,0,0,7.67,0.3743,0.0819,0.0056,537,,,,1
POSITIVE,0.9986346662044525,0.9986,0,0.0,0,0,0,0,0,12.41,0.3202,0.0707,0.0138,509,,,,1
POSITIVE,0.9994989633560181,0.9995,0,0.0,0,0,0,0,0,9.55,0.6762,0.0762,0.0,105,,,,1
POSITIVE,0.11801618337631226,0.118,5,0.2744,1,0,1,1,2,15.28,0.2285,0.0654,0.0133,1803,,,,1
NEGATIVE,0.9842318296432495,-0.9842,0,0.0,0,0,0,0,0,16.29,0.6491,0.0877,0.0,114,,,,1
POSITIVE,0.008001148700714111,0.008,1,0.0789,0,0,0,0,1,12.66,0.3184,0.079,0.0096,1253,,,,1
POSITIVE,0.3257974584897359,0.3258,4,0.4376,1,0,0,3,0,18.14,0.3098,0.0805,0.0022,907,,,,1
POSITIVE,0.9982911944389343,0.9983,0,0.0,0,0,0,0,0,13.0,0.7473,0.033,0.0,91,,,,1
POSITIVE,0.9937100410461426,0.9937,0,0.0,0,0,0,0,0,8.38,0.7463,0.0597,0.0,67,,,,1
POSITIVE,0.907356063524882,0.9074,0,0.0,0,0,0,0,0,10.73,0.3491,0.0758,0.0087,805,,,,1
POSITIVE,0.9989528059959412,0.999,0,0.0,0,0,0,0,0,13.76,0.383,0.0798,0.0035,564,,,,1
POSITIVE,0.9969907701015472,0.997,3,0.4237,0,0,1,2,0,15.6,0.3561,0.0798,0.0014,702,,,,1
POSITIVE,0.7906312942504883,0.7906,6,0.9631,0,0,0,1,5,12.14,0.391,0.0792,0.0242,619,,,,1
POSITIVE,0.9997636675834656,0.9998,0,0.0,0,0,0,0,0,8.5,0.6618,0.0735,0.0,68,,,,1
POSITIVE,0.9938504695892334,0.9939,0,0.0,0,0,0,0,0,10.29,0.4314,0.0457,0.0,350,,,,1
POSITIVE,0.9997546076774597,0.9998,1,1.1364,1,0,0,0,0,9.78,0.6591,0.0795,0.0114,88,,,,1
POSITIVE,0.9990761280059814,0.9991,0,0.0,0,0,0,0,0,9.04,0.5337,0.0913,0.0,208,,,,1
POSITIVE,0.9996631145477295,0.9997,0,0.0,0,0,0,0,0,13.0,0.7582,0.0989,0.011,91,,,,1
POSITIVE,0.9984131157398224,0.9984,1,0.1639,1,0,0,0,0,10.24,0.4089,0.0795,0.0132,604,,,,1
NEGATIVE,0.12684327363967896,-0.1268,9,0.4937,0,0,0,9,0,15.29,0.2517,0.087,0.0061,1804,,,,1
POSITIVE,0.4961790293455124,0.4962,1,0.0565,0,0,1,0,0,15.23,0.2319,0.0685,0.0074,1751,,,,1
POSITIVE,0.5038098990917206,0.5038,7,0.3423,1,0,2,1,3,15.77,0.2198,0.1037,0.0084,2034,,,,1
POSITIVE,0.4635316729545593,0.4635,3,0.3003,0,0,0,2,1,15.42,0.2908,0.0659,0.0081,987,,,,1
POSITIVE,0.9959450364112854,0.9959,0,0.0,0,0,0,0,0,10.8,0.5,0.0778,0.0148,270,,,,1
NEGATIVE,0.7554540634155273,-0.7555,2,1.0204,0,0,0,2,0,6.32,0.551,0.0357,0.0204,196,,,,1
NEGATIVE,0.7554540634155273,-0.7555,2,1.0204,0,0,0,2,0,6.32,0.551,0.0357,0.0204,196,,,,1
POSITIVE,0.7898223400115967,0.7898,0,0.0,0,0,0,0,0,11.27,0.336,0.1014,0.0048,631,,,,1
POSITIVE,0.010772854089736938,0.0108,0,0.0,0,0,0,0,0,10.24,0.4395,0.0581,0.0116,430,,,,1
POSITIVE,0.9997875094413757,0.9998,0,0.0,0,0,0,0,0,8.6,0.5174,0.0872,0.0058,172,,,,1
POSITIVE,0.9997733235359192,0.9998,1,0.4926,0,0,0,0,1,7.37,0.5226,0.0955,0.0302,199,,,,1
POSITIVE,0.9996432065963745,0.9996,0,0.0,0,0,0,0,0,9.5,0.7053,0.0632,0.0105,95,,,,1
POSITIVE,0.9988494515419006,0.9988,1,0.2364,0,0,0,0,1,9.18,0.3874,0.1017,0.0145,413,,,,1
POSITIVE,0.9863411486148834,0.9863,4,0.2127,0,0,0,2,2,13.79,0.2483,0.0656,0.0075,1861,,,,1
POSITIVE,0.9980403780937195,0.998,1,0.1309,0,0,1,0,0,7.96,0.2884,0.0701,0.0026,756,,,,1
POSITIVE,0.3393767674763997,0.3394,0,0.0,0,0,0,0,0,11.12,0.3453,0.0774,0.0077,1034,,,,1
POSITIVE,0.9979816228151321,0.998,5,0.3018,1,0,1,1,2,11.42,0.2535,0.0815,0.0043,1645,,,,1
POSITIVE,0.9996469020843506,0.9996,0,0.0,0,0,0,0,0,14.19,0.3604,0.0894,0.0054,369,,,,1
POSITIVE,0.9978067278862,0.9978,2,1.3793,1,0,1,0,0,11.15,0.5379,0.1103,0.0138,145,,,,1
POSITIVE,0.9933505654335022,0.9934,1,0.2128,0,0,0,1,0,9.6,0.4295,0.0672,0.0065,461,,,,1
POSITIVE,0.8299776911735535,0.83,2,0.8197,0,0,2,0,0,18.77,0.4672,0.0984,0.0,244,,,,1
POSITIVE,0.9659281373023987,0.9659,3,0.3215,0,0,0,2,1,18.56,0.2942,0.0797,0.0065,928,,,,1
POSITIVE,0.20789200067520142,0.2079,0,0.0,0,0,0,0,0,13.88,0.4234,0.0541,0.0068,444,,,,1
POSITIVE,0.9977033734321594,0.9977,0,0.0,0,0,0,0,0,11.1,0.7207,0.0541,0.0,111,,,,1
POSITIVE,0.9907723267873129,0.9908,0,0.0,0,0,0,0,0,10.94,0.2629,0.0733,0.0038,1050,,,,1
POSITIVE,0.9997292160987854,0.9997,1,0.7692,1,0,0,0,0,14.78,0.594,0.0977,0.0075,133,,,,1
NEGATIVE,0.23379103342692056,-0.2338,6,0.5964,0,0,0,3,3,9.14,0.318,0.0654,0.0092,978,,,,1
POSITIVE,0.9944430589675903,0.9944,8,0.6785,0,0,0,4,4,10.94,0.2733,0.0931,0.0145,1171,,,,1
POSITIVE,0.9996954202651978,0.9997,0,0.0,0,0,0,0,0,13.86,0.6598,0.1031,0.0,97,,,,1
POSITIVE,0.9931633075078329,0.9932,0,0.0,0,0,0,0,0,13.49,0.3157,0.0577,0.0135,1039,,,,1
POSITIVE,0.9195325672626495,0.9195,2,0.495,2,0,0,0,0,9.0,0.3864,0.1035,0.0051,396,,,,1
NEGATIVE,0.6236329674720764,-0.6236,0,0.0,0,0,0,0,0,8.2,0.6829,0.122,0.0,41,,,,1
POSITIVE,0.38536320130030316,0.3854,0,0.0,0,0,0,0,0,11.18,0.2908,0.0876,0.0028,1073,,,,1
POSITIVE,0.9390004426240921,0.939,4,0.2772,3,0,1,0,0,8.65,0.26,0.0813,0.0063,1427,,,,1
POSITIVE,0.3263837695121765,0.3264,4,0.4981,1,0,1,0,2,11.41,0.3441,0.0786,0.0103,776,,,,1
NEGATIVE,0.4951760470867157,-0.4952,0,0.0,0,0,0,0,0,16.32,0.2296,0.0672,0.0183,1860,,,,1
POSITIVE,0.9971999327341715,0.9972,0,0.0,0,0,0,0,0,15.53,0.3229,0.0602,0.0031,963,,,,1
