slam_name,surface,round_num,best_of,rank,opp_rank,rank_ratio,log_rank_diff,is_underdog,rank_bin,ctfi,upset,surface_Clay,surface_Grass,surface_Hard
US Open,Hard,3.0,5,7.0,66.0,0.10606060606060606,-4.0943445622221,0,top10,3,0,0,0,1
US Open,Hard,3.0,5,66.0,7.0,9.428571428571429,4.0943445622221,1,top100,5,0,0,0,1
US Open,Hard,3.0,5,3.0,15.0,0.2,-2.5649493574615367,0,top10,4,0,0,0,1
US Open,Hard,3.0,5,15.0,3.0,5.0,2.5649493574615367,1,top30,4,0,0,0,1
US Open,Hard,3.0,5,6.0,11.0,0.5454545454545454,-1.791759469228055,0,top10,3,0,0,0,1
US Open,Hard,3.0,5,11.0,6.0,1.8333333333333333,1.791759469228055,1,top30,5,0,0,0,1
US Open,Hard,3.0,5,53.0,46.0,1.1521739130434783,2.0794415416798357,1,top100,5,1,0,0,1
US Open,Hard,3.0,5,46.0,53.0,0.8679245283018868,-2.0794415416798357,0,top100,6,1,0,0,1
US Open,Hard,5.0,5,1.0,8.0,0.125,-2.0794415416798357,0,top10,4,0,0,0,1
US Open,Hard,5.0,5,8.0,1.0,8.0,2.0794415416798357,1,top10,5,0,0,0,1
US Open,Hard,5.0,5,4.0,5.0,0.8,-0.6931471805599453,0,top10,5,0,0,0,1
US Open,Hard,5.0,5,5.0,4.0,1.25,0.6931471805599453,1,top10,6,0,0,0,1
US Open,Hard,5.0,5,7.0,3.0,2.3333333333333335,1.6094379124341003,1,top10,4,1,0,0,1
US Open,Hard,5.0,5,3.0,7.0,0.42857142857142855,-1.6094379124341003,0,top10,5,1,0,0,1
US Open,Hard,5.0,5,6.0,53.0,0.11320754716981132,-3.871201010907891,0,top10,5,0,0,0,1
US Open,Hard,5.0,5,53.0,6.0,8.833333333333334,3.871201010907891,1,top100,7,0,0,0,1
US Open,Hard,6.0,5,1.0,4.0,0.25,-1.3862943611198906,0,top10,5,0,0,0,1
US Open,Hard,6.0,5,4.0,1.0,4.0,1.3862943611198906,1,top10,6,0,0,0,1
US Open,Hard,6.0,5,6.0,7.0,0.8571428571428571,-0.6931471805599453,0,top10,6,0,0,0,1
US Open,Hard,6.0,5,7.0,6.0,1.1666666666666667,0.6931471805599453,1,top10,5,0,0,0,1
US Open,Hard,7.0,5,1.0,6.0,0.16666666666666666,-1.791759469228055,0,top10,7,0,0,0,1
US Open,Hard,7.0,5,6.0,1.0,6.0,1.791759469228055,1,top10,8,0,0,0,1
